P31946 P31946 483.026
P31946 Q9CQV8 474.552
P31946 P62258 313.538
P31946 P62259 313.538
P31946 Q04917 355.91
P31946 P68510 354.755
P31946 P61981 360.147
P31946 P61982 360.147
P31946 P31947 328.176
P31946 O70456 326.25
P31946 P27348 398.667
P31946 P68254 398.667
P31946 P63104 421.779
P31946 P63101 424.861
P31946 Q9Z277 32.3426
P31946 Q9CWG9 30.8018
P31946 O15078 30.8018
P31946 Q00610 30.4166
P31946 P53675 30.0314
P31946 Q68FD5 30.4166
P31946 P15924 30.0314
P31946 P58107 31.187
P31946 Q7Z4H7 31.187
P31946 O88513 30.0314
P31946 Q9Z329 30.4166
P31946 P05787 29.6462
P31946 P02469 33.113
P31946 P50851 31.5722
P31946 Q9UKX3 30.0314
P31946 P35579 33.113
P31946 Q8VDD5 33.4982
P31946 O95613 29.6462
P31946 P30622 30.0314
P31946 Q8IZP1 32.7278
Q9CQV8 P31946 474.552
Q9CQV8 Q9CQV8 480.33
Q9CQV8 P62258 310.071
Q9CQV8 P62259 310.071
Q9CQV8 Q04917 357.066
Q9CQV8 P68510 355.91
Q9CQV8 P61981 361.303
Q9CQV8 P61982 361.303
Q9CQV8 P31947 328.176
Q9CQV8 O70456 326.25
Q9CQV8 P27348 394.045
Q9CQV8 P68254 394.045
Q9CQV8 P63104 418.313
Q9CQV8 P63101 416.387
Q9CQV8 Q9UPN4 29.6462
Q9CQV8 Q62036 31.5722
Q9CQV8 Q9Z277 32.3426
Q9CQV8 Q6QNY1 30.4166
Q9CQV8 Q9CWG9 33.113
Q9CQV8 O15078 31.5722
Q9CQV8 Q8BT07 30.0314
Q9CQV8 P58107 31.187
Q9CQV8 Q7Z4H7 31.187
Q9CQV8 Q9CS72 29.6462
Q9CQV8 Q9Z329 30.4166
Q9CQV8 P05787 30.8018
Q9CQV8 Q96CT2 30.0314
Q9CQV8 P02469 33.113
Q9CQV8 P50851 31.9574
Q9CQV8 Q9UKX3 30.0314
Q9CQV8 P35579 33.113
Q9CQV8 Q8VDD5 35.039
Q9CQV8 O95613 29.6462
Q9CQV8 P30622 34.2686
Q9CQV8 Q8IZP1 33.113
P62258 P31946 313.538
P62258 Q9CQV8 310.071
P62258 P62258 504.597
P62258 P62259 504.597
P62258 Q04917 300.827
P62258 P68510 299.286
P62258 P61981 306.605
P62258 P61982 306.605
P62258 P31947 294.664
P62258 O70456 295.049
P62258 P27348 308.145
P62258 P68254 309.301
P62258 P63104 324.709
P62258 P63101 323.939
P62258 P98170 30.4166
P62258 Q13316 29.6462
P62258 Q7Z406 29.6462
P62259 P31946 313.538
P62259 Q9CQV8 310.071
P62259 P62258 504.597
P62259 P62259 504.597
P62259 Q04917 300.827
P62259 P68510 299.286
P62259 P61981 306.605
P62259 P61982 306.605
P62259 P31947 294.664
P62259 O70456 295.049
P62259 P27348 308.145
P62259 P68254 309.301
P62259 P63104 324.709
P62259 P63101 323.939
P62259 P98170 30.4166
P62259 Q13316 29.6462
